용도,허가번호,업종,품목명,성분명(국문),성분명(영문),허가일,업체명
동물용의약품,001-003,수입,교토비켄 케나인-9(KYOTO BIKEN CANINE-9),디스템퍼+전염성간염+파라인플+파보바+렙토스피라+코로나,DHPPL+Coronavirus,2003-08-07,(주)삼우메디안
동물용의약품,002-003,제조,슈퍼마이신,바시트라신 아연,Zn-Bacitracin,1963-05-13,(주)우성양행
동물용의약품,002-004,제조,골든종계용(GOLDEN B.D),기타영양공급약,Mineral supplemental preparations,1980-02-19,(주)우성양행
동물용의약품,002-005,제조,골든육계용(GOLDEN B.R),기타영양공급약,Mineral supplemental preparations,1980-02-19,(주)우성양행
동물용의약품,002-006,제조,골든팜,기타영양공급약,Mineral supplemental preparations,1980-02-19,(주)우성양행
동물용의약품,002-007,제조,그린헬스,기타영양공급약,Mineral supplemental preparations,1980-02-19,(주)우성양행
동물용의약품,002-010,제조,골든비.에치.티(GOLDEN B.H.T),비.에이치.티.,B.H.T.,1980-02-19,(주)우성양행
동물용의약품,002-014,제조,골든에독시퀸(GOLDEN ETHOXYQUIN),에톡시퀸,Ethoxyquine,1981-02-12,(주)우성양행
동물용의약품,002-016,제조,설프림,트리메토프림+설파메톡사졸,Trimethoprim+Sulfamethoxazole,1981-08-04,(주)우성양행
동물용의약품,002-017,제조,골든메치오닌(GOLDEN METHIONINE),메치오닌,DL-methionine,1981-08-04,(주)우성양행
동물용의약품,002-019,제조,빅마이신(수출용)(VIGMYCIN),버지니아마이신,Virginiamycin,1981-10-31,(주)우성양행
동물용의약품,002-020,제조,슈퍼 스피라,스피라마이신,Spiramycin,1981-10-31,(주)우성양행
동물용의약품,002-022,제조,골든코반,모넨신나트륨,Monensin sodium,1982-07-10,(주)우성양행
동물용의약품,002-024,제조,골든양돈용2호(GOLDEN S.W),기타영양공급약,Mineral supplemental preparations,1982-09-22,(주)우성양행
동물용의약품,002-026,제조,골든암피실린(GOLDEN AMPICILLIN),암피실린,Ampicillin,1983-02-25,(주)우성양행
동물용의약품,002-030,제조,골든푸라마이신(수출용),밤버마이신,Bambermycin,1983-04-29,(주)우성양행
동물용의약품,002-032,제조,골든헬마탁(GOLDEN HELMATAC),옥시벤다졸,Oxibendazole,1984-05-10,(주)우성양행
동물용의약품,002-033,제조,우성타이로신설파,타이로신+설파메타진,Tylosin phosphate+Sulfamethazine,1985-09-26,(주)우성양행
동물용의약품,002-034,제조,골든스트레스 산란강화제(수출용),클로르테트라사이클린염산염,Chlortetracycline HCl,1986-01-18,(주)우성양행
동물용의약품,002-036,제조,오레오100,클로로테트라사이클린칼슘염,Chlortetracycline calcium,1986-11-05,(주)우성양행
동물용의약품,002-037,제조,우성나사로시드,라사로시드나트륨,Lasalocid sodium,1986-11-05,(주)우성양행
동물용의약품,002-038,제조,엔비슈퍼100(NB SUPER 100),간균+유산균+효모,Bacillus+Lactobacillus+Saccharomyces,1986-11-05,(주)우성양행
동물용의약품,002-039,제조,골든-콕신,나라신,Narasin,1987-02-02,(주)우성양행
동물용의약품,002-040,제조,로바신,스피라마이신,Spiramycin,1987-02-02,(주)우성양행
동물용의약품,002-042,제조,우성하이그로마이신(WOOSUNG HYGROMYCIN),하이그로마이신,Hygromycin,1987-12-18,(주)우성양행
동물용의약품,002-043,제조,우성할로푸긴(수출용)(WOOSUNG HALOFUGIN),할로푸지논,Halofuginone,1987-12-18,(주)우성양행
동물용의약품,002-044,제조,콕시그로(COCCI GRO),마두라마이신암모늄,Maduramycin ammonium,1987-12-18,(주)우성양행
